SID,ISO_TIME,LAT,LON,WMO_WIND,wind_was_missing,wind_imputation,WMO_PRES,pres_was_missing,pres_imputation,Status Wind,Status Pres
1980024S11076,1980-01-25 00:00:00,-12.2,76.0,29.0,1,Linear,1000.0,1,Linear,Perbaikan,Perbaikan
1980024S11076,1980-01-25 03:00:00,-12.5,76.0,29.0,1,Linear,1000.0,1,Linear,Perbaikan,Perbaikan
1980024S11076,1980-01-25 06:00:00,-12.7,76.0,29.0,0,Original,1000.0,0,Original,Asli,Asli
1980024S11076,1980-01-25 09:00:00,-12.9,76.0,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980024S11076,1980-01-25 12:00:00,-13.0,76.0,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980024S11076,1980-01-25 15:00:00,-13.2,76.0,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980024S11076,1980-01-25 18:00:00,-13.5,76.0,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980024S11076,1980-01-25 21:00:00,-13.8,76.0,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980024S11076,1980-01-26 00:00:00,-14.0,76.0,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980024S11076,1980-01-26 03:00:00,-14.3,76.0,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980024S11076,1980-01-26 06:00:00,-14.5,76.0,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980056S15059,1980-02-25 06:00:00,-14.6,59.0,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-25 09:00:00,-14.6,59.1,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-25 12:00:00,-14.6,59.3,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-25 15:00:00,-14.6,59.3,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-25 18:00:00,-14.6,59.4,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-25 21:00:00,-14.7,59.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-26 00:00:00,-14.7,59.6,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-26 03:00:00,-14.7,59.7,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-26 06:00:00,-14.7,59.9,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-26 09:00:00,-14.7,60.0,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-26 12:00:00,-14.8,60.1,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-26 15:00:00,-14.8,60.2,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-26 18:00:00,-14.8,60.2,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-26 21:00:00,-14.8,60.2,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-27 00:00:00,-14.8,60.2,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-27 03:00:00,-14.9,60.3,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-27 06:00:00,-14.9,60.3,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-27 09:00:00,-15.0,60.4,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-27 12:00:00,-15.1,60.4,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-27 15:00:00,-15.1,60.4,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-27 18:00:00,-15.1,60.4,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-27 21:00:00,-15.1,60.4,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-28 00:00:00,-15.1,60.3,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-28 03:00:00,-15.2,60.4,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-28 06:00:00,-15.2,60.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-28 09:00:00,-15.3,60.6,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-28 12:00:00,-15.4,60.7,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
